id;siglaTipo;numero;ano;eco_score_neural
2620878;PL;2145;2026;65.64964
2620877;PL;2144;2026;61.45704
2620876;RIC;1183;2026;58.709896
2620875;PRL;1;0;45.063366
2620874;REQ;29;2026;62.022472
2620873;SBT;1;0;58.070732
2620872;PAR;1;0;47.380863
2620871;PRL;1;0;45.57015
2620870;REQ;60;2026;54.40038
2620869;SBT-A;1;0;43.771435
2620868;PL;2143;2026;51.079132
2620867;PAR;1;0;47.21911
2620866;REQ;2587;2026;50.928898
2620865;EMC-A;1;0;42.24548
2620864;REQ;2586;2026;55.22197
2620863;PAR;1;0;46.83712
2620862;REQ;59;2026;48.572453
2620861;SBT-A;1;0;43.763767
2620860;PAR;1;0;47.356987
2620859;REL;1;2026;58.940826
2620858;SBT-A;1;0;43.814796
2620857;PAR;1;0;47.19342
2620856;PAR;1;0;49.167
2620855;REQ;2585;2026;57.7448
2620854;PDL;272;2026;57.32519
2620853;DOC;722;2026;19.020561
2620437;PRL;1;0;42.8828
2620852;REQ;58;2026;57.4141
2620851;REQ;2584;2026;50.873756
2620850;INC;676;2026;59.824135
2620849;INC;675;2026;60.348106
2620848;INC;674;2026;57.820744
2620847;INC;673;2026;60.867725
2620846;PL;2142;2026;58.020233
2620845;REQ;2583;2026;54.71735
2620844;PRL;1;0;61.505962
2620843;REQ;26;2026;59.637875
2620842;REQ;2582;2026;48.565323
2620841;PL;2141;2026;54.851543
2620840;REQ;57;2026;60.178257
2620839;REQ;5;2026;56.248356
2620838;REQ;2581;2026;59.003876
2620837;PL;2140;2026;57.64421
2620836;PL;2139;2026;57.923855
2620835;REQ;111;2026;57.295525
2620834;REQ;110;2026;60.150898
2620833;SBT;1;0;54.56729
2620832;PRL;2;0;43.879223
2620831;REQ;50;2026;58.39405
2620830;REQ;2580;2026;60.22011
2620829;PRL;1;0;51.442654
2620828;EMC;1;2026;56.813286
2620827;EMC-A;1;0;43.7077
2620826;PAR;1;0;50.747864
2620825;PAR;1;0;50.25141
2620824;SBT-A;1;0;42.225555
2620823;REQ;23;2026;59.175396
2620822;REQ;2579;2026;52.992683
2620821;PAR;1;0;49.147156
2620820;REQ;49;2026;55.204994
2620819;DOC;721;2026;19.020561
2620818;REQ;48;2026;53.254475
2620817;REQ;47;2026;55.204994
2620816;DOC;720;2026;19.020561
2620815;REQ;46;2026;55.204994
2620814;REQ;45;2026;55.52973
2620813;REQ;44;2026;56.672882
2620812;REQ;214;2026;53.12485
2620811;REQ;43;2026;60.93471
2620810;REQ;42;2026;64.06754
2620809;REQ;41;2026;58.869995
2620808;PRL;1;0;52.288376
2620807;REQ;40;2026;62.800556
2620806;REQ;39;2026;63.910328
2620805;PL;4229;2025;47.482376
2620804;SBT;2;0;56.313206
2620803;PL;6412;2025;56.551147
2620802;DOC;477;2026;51.61745
2620801;PRL;2;0;43.879223
2620800;RDF;1;0;41.493412
2620799;REQ;38;2026;56.63535
2620798;REQ;4;2026;51.033348
2620797;REQ;37;2026;69.443634
2620796;REQ;36;2026;65.91848
2620795;EMR;3;0;19.020561
2620794;EMR;2;0;19.020561
2620793;REQ;35;2026;65.01338
2620792;REQ;34;2026;60.51034
2620791;REQ;33;2026;58.437244
2620790;REQ;2578;2026;52.694035
2620789;REQ;32;2026;65.3836
2620788;REQ;2577;2026;56.40062
2620787;REQ;31;2026;57.209217
2620786;REQ;28;2026;64.47414
2620785;REQ;2576;2026;53.687996
2620784;REQ;30;2026;57.940346
2620783;DOC;476;2026;47.283768
2620782;DOC;475;2026;47.44836
2620781;DOC;474;2026;48.09225
2620780;REQ;29;2026;59.590042
2620779;REQ;37;2026;60.26621
2620881;PL;2147;2026;59.014736
2620880;RIC;1184;2026;70.58973
2620879;PL;2146;2026;65.87566
2620436;PRL;1;0;45.26237
2620767;REQ;22;2026;61.212234
2620554;PRL;1;0;45.381794
2620778;REQ;36;2026;57.692413
2620777;REQ;35;2026;53.653515
2620776;REQ;34;2026;54.648304
2620775;SBT;2;0;19.020561
2620774;REQ;28;2026;56.602394
2620773;RIC;1182;2026;56.157387
2620772;REQ;27;2026;57.337864
2620771;REQ;26;2026;58.69519
2620770;REQ;25;2026;56.308502
2620769;REQ;24;2026;61.568832
2620768;REQ;23;2026;64.35493
2620766;PL;2138;2026;58.22207
2620765;DOC;719;2026;19.020561
2620764;REQ;213;2026;58.109356
2620763;REQ;2575;2026;52.658962
2620762;PL;2137;2026;56.5933
2620761;PRLP;1;0;62.449585
2620760;DOC;718;2026;19.020561
2620759;PRLP;1;0;58.841385
2620758;RDF;1;0;45.74547
2620757;RDF;1;0;44.533813
2620756;REQ;212;2026;51.96922
2620755;REQ;211;2026;56.501545
2620754;PES;1;0;50.067448
2620753;PL;2136;2026;60.86396
2620752;REQ;2574;2026;63.05363
2620751;DOC;717;2026;19.020561
2620750;PRL;2;0;44.756985
2620748;REQ;210;2026;57.020927
2620747;SBT-A;1;0;42.262436
2620746;PAR;1;0;47.01708
2620745;PAR;1;0;47.062397
2620744;REQ;39;2026;59.171738
2620743;EMC-A;1;0;43.533302
2620742;PAR;1;0;47.64951
2620741;PRL;1;0;43.71071
2620740;REQ;21;2026;52.34158
2620739;SBT-A;1;0;43.29015
2620738;REQ;20;2026;57.02431
2620737;PAR;1;0;47.823822
2620736;REQ;19;2026;53.751328
2620735;REQ;18;2026;59.04145
2620734;SBT-A;1;0;42.857147
2620733;PAR;1;0;47.133083
2620732;PRL;1;0;41.613663
2620731;SBT-A;1;0;41.63564
2620730;PAR;1;0;45.791725
2620729;SBT-A;1;0;42.70968
2620728;PAR;1;0;46.767704
2620727;DOC;716;2026;19.020561
2620726;SBT-A;1;0;44.736015
2620725;PAR;1;0;47.9756
2620724;SBT-A;1;0;44.453068
2620723;PAR;1;0;48.544777
2620722;REQ;17;2026;54.61148
2620721;REQ;16;2026;53.751328
2620720;SBT-A;1;0;45.188366
2620719;SBT;1;0;61.729694
2620718;PAR;1;0;48.983036
2620717;SBT;1;0;61.152164
2620716;REQ;15;2026;54.63195
2620715;REQ;14;2026;56.766476
2620553;PRL;1;0;62.930916
2620714;REQ;13;2026;59.04145
2620713;SBT;1;0;55.061222
2620712;REQ;12;2026;56.62673
2620711;PRL;1;0;51.5867
2620710;REQ;11;2026;51.715195
2620709;DOC;715;2026;19.020561
2620708;PRL;1;0;44.502346
2620707;PRL;1;0;51.5867
2620706;REQ;10;2026;56.47477
2620705;PRL;1;0;50.141968
2620704;PRL;1;0;58.198334
2620703;PL;2135;2026;60.751175
2620702;REQ;3;2026;59.04113
2620701;PL;2134;2026;57.11322
2620700;SBR;2;0;57.862305
2620699;SBT;2;0;59.937088
2620698;REQ;209;2026;56.31333
2620697;REQ;38;2026;64.6157
2620696;PRL;2;0;46.59452
2620695;PL;2133;2026;44.0407
2620694;RIC;1181;2026;59.533073
2620435;PRL;1;0;43.6967
2620693;RIC;1180;2026;57.54561
2620692;PRL;1;0;43.195076
2620691;INC;672;2026;55.094414
2620690;PRL;1;0;41.960136
2620689;REQ;70;2026;65.05057
2620688;REQ;208;2026;53.337746
2620687;DOC;473;2026;53.01449
2620686;DOC;714;2026;19.020561
2620685;RIC;1179;2026;57.389618
2620684;INC;671;2026;59.80464
2620683;RIC;1178;2026;56.40638
2620682;REQ;55;2026;60.016174
2620681;REQ;37;2026;62.486935
2620680;PL;2132;2026;59.288742
2620679;RIC;1177;2026;59.68573
2620678;RIC;1176;2026;59.439503
2620677;RIC;1175;2026;61.29342
2620676;RIC;1174;2026;60.64396
2620675;RIC;1173;2026;60.927677
2620674;RIC;1172;2026;59.959816
2620673;RIC;1171;2026;61.00306
2620672;RIC;1170;2026;60.74443
2620671;RIC;1169;2026;60.736828
2620670;RIC;1168;2026;59.912117
2620669;RIC;1167;2026;60.144234
2620668;RIC;1166;2026;59.829216
2620667;RIC;1165;2026;60.98392
2620666;RIC;1164;2026;60.942123
2620665;SBT;1;0;61.669777
2620664;RIC;1163;2026;60.7803
2620663;RIC;1162;2026;61.043728
2620662;RIC;1161;2026;61.113594
2620661;RIC;1160;2026;61.12226
